"id","event_Name","performer","event_id","stagesN","description","tpltype"
"2299","Hello! Project 20th Anniversary!! Hello! Project ひなフェス 2019アンジュルム プレミアム","モーニング娘。'19 / アンジュルム / Juice=Juice / カントリー・ガールズ / こぶしファクトリー / つばきファクトリー / BEY","HF19003","1","","0"
"2300","Hello! Project 20th Anniversary!! Hello! Project ひなフェス 2019モーニング娘。’19 プレミアム","モーニング娘。'19 / アンジュルム / Juice=Juice / カントリー・ガールズ / こぶしファクトリー / つばきファクトリー / BEY","HF19004","1","","0"
"2301","Hello! Project ひなフェス 2020〜被災地復興支援・東北を元気に！〜つばきファクトリー プレミアム","モーニング娘。'20 / アンジュルム / Juice=Juice / こぶしファクトリー / つばきファクトリー / BEYOOOOONDS","HF20001","1","","0"
"2302","Hello! Project ひなフェス 2020〜被災地復興支援・東北を元気に！〜モーニング娘。’20 プレミアム","モーニング娘。'20 / アンジュルム / Juice=Juice / こぶしファクトリー / つばきファクトリー / BEYOOOOONDS","HF20002","1","","0"
"2303","Hello! Project ひなフェス 2020〜被災地復興支援・東北を元気に！〜BEYOOOOONDS プレミアム","アンジュルム / Juice=Juice / こぶしファクトリー / つばきファクトリー / BEYOOOOONDS / ハロプロ研修生ユニット / ハ","HF20003","1","","0"
"2304","Hello! Project ひなフェス 2020〜被災地復興支援・東北を元気に！〜Juice=Juice プレミアム","アンジュルム / Juice=Juice / こぶしファクトリー / つばきファクトリー / BEYOOOOONDS / ハロプロ研修生ユニット / ハ","HF20004","1","","0"
"2305","Hello! Project ひなフェス 2020〜被災地復興支援・東北を元気に！〜こぶしファクトリー プレミアム","アンジュルム / Juice=Juice / こぶしファクトリー / つばきファクトリー / BEYOOOOONDS / ハロプロ研修生ユニット / ハ","HF20005","1","","0"
"2306","Hello! Project ひなフェス 2020〜被災地復興支援・東北を元気に！〜アンジュルム プレミアム","アンジュルム / Juice=Juice / こぶしファクトリー / つばきファクトリー / BEYOOOOONDS / ハロプロ研修生ユニット / ハ","HF20006","1","","0"
"2307","Hello! Project ひなフェス 2021つばきファクトリー&BEYOOOOONDS プレミアム","モーニング娘。'21（佐藤優樹欠席/岡村ほまれ欠席） / アンジュルム / Juice=Juice / つばきファクトリー / BEYOOOOONDS","HF21001","1","","0"
"2308","Hello! Project ひなフェス 2021Juice=Juice プレミアム","モーニング娘。'21（佐藤優樹欠席/岡村ほまれ欠席） / アンジュルム / Juice=Juice / つばきファクトリー / BEYOOOOO","HF21002","1","","0"
"2309","Hello! Project ひなフェス 2021アンジュルム プレミアム","モーニング娘。'21（佐藤優樹欠席/岡村ほまれ欠席） / アンジュルム / Juice=Juice / つばきファクトリー / BEYOOOOO","HF21003","1","","0"
"2310","Hello! Project ひなフェス 2021 モーニング娘。’21 プレミアム","モーニング娘。'21（佐藤優樹欠席/岡村ほまれ欠席） / アンジュルム / Juice=Juice / つばきファクトリー / BEYOOOOO","HF21004","1","","0"
"2311","Hello! Project ひなフェス 2022 Juice=Juice プレミアム","モーニング娘。'22（加賀楓欠席） / アンジュルム / Juice=Juice（有澤一華欠席） / つばきファクトリー / BEYOOOOONDS / OCHA NORMA / ハロプロ研修生","HF22001","1","","0"
"2312","Hello! Project ひなフェス 2022 アンジュルム プレミアム","モーニング娘。'22（加賀楓欠席） / アンジュルム / Juice=Juice（有澤一華欠席） / つばきファクトリー / BEYOOOOONモーニング娘。'22（加賀楓欠席） / アンジュルム / Juice=Juice（有澤一華欠席） / つばきファクトリー / BEYOOOOONDS / OCHA NORMA / ハロプロ研修生","HF22002","1","","0"
"2313","Hello! Project ひなフェス 2022 つばきファクトリー&BEYOOOOONDS プレミアム","モーニング娘。'22（加賀楓欠席） / アンジュルム / Juice=Juice（有澤一華欠席） / つばきファクトリー / BEYOOOOONモーニング娘。'22（加賀楓欠席） / アンジュルム / Juice=Juice（有澤一華欠席） / つばきファクトリー / BEYOOOOONDS / OCHA NORMA / ハロプロ研修生","HF22003","1","","0"
"2314","Hello! Project ひなフェス 2022 モーニング娘。’22 プレミアム","モーニング娘。'22（加賀楓欠席） / アンジュルム / Juice=Juice（有澤一華欠席） / つばきファクトリー / BEYOOOOONDS / OCHA NORMA / ハロプロ研修生","HF22004","1",NULL,"0"
"2335","ハロプロ エッグ 2011 発表会〜9月の生タマゴShow!〜","ハロプロエッグ","TA11001","2","","0"
"2336","ハロプロ研修生 発表会 2012〜3月の生タマゴShow!〜","ハロプロエッグ","TA12001","2","","0"
"2337","ハロプロ研修生 発表会 2012〜6月の生タマゴShow!〜","ハロプロ研修生","TA12002","2","","0"
"2338","ハロプロ研修生 発表会 2012〜9月の生タマゴShow!〜","ハロプロ研修生","TA12003","2","","0"
"2339","ハロプロ研修生 発表会 2012〜12月の生タマゴShow!〜","ハロプロ研修生","TA12004","2","","0"
"2340","ハロプロ研修生 発表会 2013〜3月の生タマゴShow!〜","ハロプロ研修生","TA13001","2","","0"
"2341","ハロプロ研修生 発表会 2013 〜6月の生タマゴShow!〜","ハロプロ研修生 / Juice=Juice","TA13002","4","","0"
"2342","ハロプロ研修生 発表会 2013 〜9月の生タマゴShow!〜","ハロプロ研修生 / Juice=Juice","TA13003","5","","0"
